,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
345849,tt0361127,movie,The Woodsman,The Woodsman,0,2004,\N,87,Drama
346021,tt0361309,movie,We Don't Live Here Anymore,We Don't Live Here Anymore,0,2004,\N,101,"Drama,Romance"
346120,tt0361411,movie,Bride & Prejudice,Bride & Prejudice,0,2004,\N,122,"Comedy,Drama,Musical"
346169,tt0361462,video,Comic Book: The Movie,Comic Book: The Movie,0,2004,\N,106,Comedy
346173,tt0361467,movie,Confessions of a Teenage Drama Queen,Confessions of a Teenage Drama Queen,0,2004,\N,89,"Comedy,Family,Music"
346297,tt0361596,movie,Fahrenheit 9/11,Fahrenheit 9/11,0,2004,\N,122,"Documentary,Drama,War"
346320,tt0361620,movie,First Daughter,First Daughter,0,2004,\N,106,"Comedy,Drama,Romance"
346365,tt0361668,movie,Gozu,Gokudô kyôfu dai-gekijô: Gozu,0,2003,\N,129,"Crime,Drama,Horror"
346387,tt0361693,movie,Happy Endings,Happy Endings,0,2005,\N,128,"Comedy,Drama,Music"
346390,tt0361696,movie,Raise Your Voice,Raise Your Voice,0,2004,\N,103,"Family,Music,Musical"
346408,tt0361715,movie,Duma,Duma,0,2005,\N,100,"Adventure,Drama,Family"
346439,tt0361748,movie,Inglourious Basterds,Inglourious Basterds,0,2009,\N,153,"Adventure,Drama,War"
346529,tt0361841,movie,Little Black Book,Little Black Book,0,2004,\N,107,"Comedy,Drama,Romance"
346549,tt0361862,movie,The Machinist,The Machinist,0,2004,\N,101,"Drama,Thriller"
346612,tt0361925,movie,Welcome to Mooseport,Welcome to Mooseport,0,2004,\N,110,"Comedy,Romance"
346689,tt0362004,movie,Palindromes,Palindromes,0,2004,\N,100,"Comedy,Drama"
346801,tt0362120,movie,Scary Movie 4,Scary Movie 4,0,2006,\N,83,Comedy
346843,tt0362165,movie,Son of the Mask,Son of the Mask,0,2005,\N,94,"Comedy,Family,Fantasy"
346902,tt0362225,movie,Tell No One,Ne le dis à personne,0,2006,\N,131,"Crime,Drama,Mystery"
346904,tt0362227,movie,The Terminal,The Terminal,0,2004,\N,128,"Comedy,Drama,Romance"
346945,tt0362269,movie,Kinsey,Kinsey,0,2004,\N,118,"Biography,Drama,Romance"
346946,tt0362270,movie,The Life Aquatic with Steve Zissou,The Life Aquatic with Steve Zissou,0,2004,\N,119,"Action,Adventure,Comedy"
347254,tt0362590,movie,Employee of the Month,Employee of the Month,0,2004,\N,97,"Comedy,Drama"
347807,tt0363163,movie,Downfall,Der Untergang,0,2004,\N,156,"Biography,Drama,History"
347869,tt0363226,movie,The Blind Swordsman: Zatoichi,Zatôichi,0,2003,\N,116,"Action,Comedy,Crime"
347932,tt0363290,movie,Purple Butterfly,Zi hu die,0,2003,\N,127,"Drama,History,War"
348108,tt0363473,movie,Beyond the Sea,Beyond the Sea,0,2004,\N,118,"Biography,Drama,Music"
348145,tt0363510,movie,The Revolution Will Not Be Televised,Chavez: Inside the Coup,0,2003,\N,74,Documentary
348165,tt0363532,movie,Intimate Strangers,Confidences trop intimes,0,2004,\N,104,"Drama,Romance,Thriller"
348179,tt0363547,movie,Dawn of the Dead,Dawn of the Dead,0,2004,\N,101,Horror
348209,tt0363579,movie,Down to the Bone,Down to the Bone,0,2004,\N,104,Drama
348219,tt0363589,movie,Elephant,Elephant,0,2003,\N,81,"Crime,Drama,Thriller"
348395,tt0363771,movie,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",0,2005,\N,143,"Adventure,Family,Fantasy"
